manufacturer,model,serial number,manufactured_date,device_type,_outlier_reason
Hillrom,CENTURY,12M1281998,1998,"Bed, Ac-Powered Adjustable Hospital",
Hillrom,CENTURY,12M0591998,1998,"Bed, Ac-Powered Adjustable Hospital",
Hillrom,PCENTURYK3256,12M0551998,1998,Hospital Bed,
Hillrom,CENTURY,12M0561998,1998,"Bed, Ac-Powered Adjustable Hospital",
Hillrom,CENTURY,12M1101998,1998,"Bed, Ac-Powered Adjustable Hospital",
Hillrom,CENTURY,02R2981999,1999,"Bed, Ac-Powered Adjustable Hospital",
Hillrom,CENTURYP1400,10L9791999,1999,Hospital Bed,
Hillrom,CENTURYP1400,10L7601999,1999,Hospital Bed,
Hillrom,CENTURYP1400,10L2981999,1999,Hospital Bed,
Hillrom,CENTURYP1400,10L2591999,1999,Hospital Bed,
Hillrom,CENTURY,02R3141999,1999,"Bed, Ac-Powered Adjustable Hospital",
Hillrom,CENTURYP1400,10L7571999,1999,Hospital Bed,
Hillrom,CENTURYP1400,10L7531999,1999,Hospital Bed,
Hillrom,PCENTURYK3256,02R3391999,1999,Hospital Bed,
Hillrom,CENTURY,02R3241999,1999,"Bed, Ac-Powered Adjustable Hospital",
Hillrom,CENTURYP1400,10L7541999,1999,Hospital Bed,
Hillrom,CENTURY,02R3631999,1999,"Bed, Ac-Powered Adjustable Hospital",
Hillrom,CENTURY,10L9201999,1999,"Bed, Ac-Powered Adjustable Hospital",
ZOLL Medical,M SERIES,t1k132871,November 2001,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T03D45722,April 2003,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T03G48599,July 2003,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T04A54870,January 2004,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T04D57875,April 2004,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T04F60157,June 2004,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T04G0718,July 2004,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T04H61597,August 2004,Automated External Defibrillators (Non-Wearable),
Cogentix Medical,CST-5000,CS0709N,2007,"Cystoscope And Accessories, Flexible/Rigid",
Cogentix Medical,CST-5000,CS0715N,2007,"Cystoscope And Accessories, Flexible/Rigid",
Welch Allyn,SPOT VITAL SIGNS,200810466,2008,"System, Measurement, Blood-Pressure, Non-Invasive",
GE HEALTHCARE,APEX PRO CH,RT908362478GA,2008,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA308511468GR,2008,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA309517777GR,2009,Patient Monitor,
ZOLL Medical,M SERIES,T09B109955,February 2009,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T09B109792,February 2009,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,M SERIES,T09K116484,November 2009,Automated External Defibrillators (Non-Wearable),
Stryker,1061,109035466,2010,"System, Test, Beta-2-Microglobulin Immunological",
Welch Allyn,FILAC3000,A1051223,2010,Thermometer,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518384GR,2010,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310518261GR,2010,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496411GR,2010,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310507316GR,2010,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310496410GR,2010,Patient Monitor,
GE HEALTHCARE,PATIENT DATA MODULE (PDM),SA310465295GR,2010,Patient Monitor,
ZOLL Medical,M SERIES,T10G121505,July 2010,Automated External Defibrillators (Non-Wearable),
ZOLL Medical,Propaq Md,AI10L000824,December 2010,"Dc-Defibrillator, Low-Energy, (Including Paddles)",
ZOLL Medical,Propaq Md,AI10L000796,December 2010,"Dc-Defibrillator, Low-Energy, (Including Paddles)",
ZOLL Medical,Propaq Md,AI10L000816,December 2010,"Dc-Defibrillator, Low-Energy, (Including Paddles)",
ZOLL Medical,Propaq Md,AI10L000819,December 2010,"Dc-Defibrillator, Low-Energy, (Including Paddles)",
Edan Instruments,F9EXPRESS,560039-M11330014,2011,Fetal Monitor,
Welch Allyn,FILAC3000,A1155231X,2011,Thermometer,
Welch Allyn,FILAC3000,A1156405,2011,Thermometer,
Welch Allyn,FILAC3000,A1156388,2011,Thermometer,
